id,name,category,latitude,longitude,address,district,island
osm-way/65746192,"Market Place",shopping,19.709628,-79.820444,"West Side Road, Cayman Brac",Cayman Brac,Cayman Brac
osm-way/689291769,"Kirkconnell's Market",shopping,19.71107,-79.819198,"Dennis Foster Road, Stake Bay",Cayman Brac,Cayman Brac
osm-node/6340463199,"Cayman Cigar co.",shopping,19.283351,-81.252275,"Bodden Town Road",Bodden Town,Grand Cayman
osm-node/3763466374,"Department of Vehicle and Drivers' Licensing",services,19.376437,-81.411256,"Reverend Blackman Drive, West Bay",West Bay,Grand Cayman
osm-node/5124899343,"Spa Esprit",wellness,19.340078,-81.392427,"Seven Mile Beach, Grand Cayman, Cayman Islands",Seven Mile Beach,Grand Cayman
osm-node/4249365095,"DNS Diving",wellness,19.286479,-81.37389,"700, Shamrock Road",George Town,Grand Cayman
serp-ChIJgaprjKaHJY8RxtxRkJTBoLc-vdr1n2veq,"The Falls Steakhouse (formerly Copper Falls Steakhouse)",restaurant,19.32378,-81.23795,"43 Canal Point Drive Grand Cayman KY1, 1301, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJTVLeUPGHJY8RsFbQq_TgYQ0-dpmb8pj8i,"Ms. Piper's Kitchen + Garden",restaurant,19.289524,-81.36455,"22 Piper Way, Grand Cayman KY1-1201, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJUan6nnd9L48RXwXiEDIXuQo-9dk8pi7vn,"Calypso Grill Cayman Islands",restaurant,19.377446,-81.408806,"10 Morgan's Ln, West Bay KY1-1202, Cayman Islands",West Bay,Grand Cayman
serp-ChIJva5ycwCHJY8Rnc1RPoBnAUk-yr5z9pe51,"Bonny Moon Beach Club",restaurant,19.376762,-81.410703,"53 Seabath Lane, SMB, West Bay KY1-1201, Cayman Islands",West Bay,Grand Cayman
serp-ChIJVzcxOISHJY8RuY6t3f_QiwA-7g3iryevu,"Morgan's Seafood Restaurant",restaurant,19.37088,-81.270803,"Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJQcNU25WHJY8RUySbDil8h-E-sz7yoxbp7,"The Kitchen Steakhouse",restaurant,19.317969,-81.239761,"Cayman Islands, KY1-9006, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJsYIJwqmHJY8R-mf6hAwXxd4-sd5yehin5,"Living The Dream Divers",diving_snorkeling,19.338657,-81.380051,"Living the Dream Dive Shop 245 North Church Street Grand Cayman KY1, 1206, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJ95I5r8v1JY8RDCnSnBEaNRQ-pvc0gc65e,"Ocean Frontiers Dive Shop",diving_snorkeling,19.306657,-81.094199,"344C Austin Conolly Dr, Grand Cayman KY1-1801, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJI6Ex6aaHJY8RdKvZ-NkFSb4-jpmm811vp,"Pirate Divers Grand Cayman",diving_snorkeling,19.329847,-81.171222,"Seven Mile Public Beach, W Bay Rd, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJB4xY5leGJY8RRegXCJJcOKY-j4ijk93kr,"Cayman Turtle Divers",diving_snorkeling,19.375084,-81.407751,"1428A West Bay Road, Trafalgar Place #C2, KY1-1207, Cayman Islands",West Bay,Grand Cayman
serp-ChIJkYpQ3YqGJY8RYou8g-J3xS0-4bmzisio7,"Eden Rock Diving Center Ltd",diving_snorkeling,19.2875,-81.3865,"124 S Church St, George Town KY1-1110, Cayman Islands",George Town,Grand Cayman
serp-ChIJie0xvYuGJY8R0SQAMOL-Ev8-95gc522ng,"Don Foster's Dive Cayman",diving_snorkeling,19.286468,-81.372847,"218 S Church St, George Town KY1-1206, Cayman Islands",George Town,Grand Cayman
serp-ChIJV_206L99L48R39e8Nk-kuZw-n534cc380,"Divetech Grand Cayman",diving_snorkeling,19.373499,-81.4106,"Sea Fan Dr, West Bay KY1-1401, Cayman Islands",West Bay,Grand Cayman
serp-ChIJZ0W1FFiGJY8RKyPQ03JtjBo-esbdt7x7c,"Deep Blue Divers Cayman",diving_snorkeling,19.285632,-81.376297,"37 S Church St, George Town, Cayman Islands",George Town,Grand Cayman
serp-ChIJKeesgoKHJY8R6mf_R8_q2BY-xc5k8lcyz,"DNS Cayman Islands scuba dive, Grand Cayman.",diving_snorkeling,19.329847,-81.171222,"66 Snooze Ln, KY1-1203, Cayman Islands",Grand Cayman,Grand Cayman
